baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,gene,significant
10.332343371004402,0.3342903148705987,0.5686515447141443,0.5878649552225226,0.5566229407232623,0.9914717114752315,B-cell,SSU72,False
9.869913310332523,-0.6591720500899867,0.5684309480215316,-1.159634345005821,0.24619771146657154,0.9914717114752315,B-cell,GNB1,False
222.66709158985554,0.08965671813395869,0.2110797153047822,0.424752885441889,0.6710168266930701,0.9914717114752315,B-cell,RPL22,False
15.02761241387121,0.061900448885817784,0.4714230638285774,0.13130551649956296,0.8955336280407871,0.9914717114752315,B-cell,PARK7,False
9.342760403827802,0.40783710620606217,0.6005164133714432,0.6791439786239427,0.4970466392181595,0.9914717114752315,B-cell,ENO1,False
8.14327257684315,-0.3353859996486565,0.7533350439127109,-0.44520164349014113,0.6561740391464579,0.9914717114752315,B-cell,TNFRSF1B,False
25.562220077862218,0.038056213780180995,0.3806838967531181,0.09996801573369751,0.9203697179585216,0.9914717114752315,B-cell,PRDM2,False
11.162047898229595,-0.31238462333735895,0.5538896159223983,-0.5639835345480192,0.5727653379216591,0.9914717114752315,B-cell,CAPZB,False
15.388397412809917,-0.16140743137376998,0.4795952071471611,-0.33654930026071556,0.7364566811425548,0.9914717114752315,B-cell,HP1BP3,False
35.29208688593818,-0.025853865081081746,0.3373737985437297,-0.07663269996863915,0.9389157446198773,0.9914717114752315,B-cell,CDC42,False
11.419548083469051,0.41255424252828077,0.5462223336740288,0.755286294782817,0.4500772201767661,0.9914717114752315,B-cell,HNRNPR,False
715.4167660425619,0.22729140710818843,0.17908291037707333,1.269196522602901,0.20437098101059414,0.9914717114752315,B-cell,RPL11,False
15.55934458540443,-0.02218977970754756,0.4764552121597567,-0.04657264553149072,0.9628538340688585,0.9914717114752315,B-cell,PNRC2,False
18.573792893940205,0.24448252391866163,0.4330045452864472,0.5646188396404203,0.5723330481785791,0.9914717114752315,B-cell,SRSF10,False
28.13291245601863,0.33951710821483727,0.37236547641275364,0.9117846033569849,0.36188211695316286,0.9914717114752315,B-cell,SRRM1,False
10.970709465436839,-0.039861350308879245,0.55374456400785,-0.07198508644558752,0.9426137763508866,0.9914717114752315,B-cell,RUNX3,False
18.959959218570553,0.31292977169896247,0.43892385970355907,0.7129477351955971,0.4758780991127941,0.9914717114752315,B-cell,SYF2,False
20.072171039399414,0.17767963300099973,0.4209127224359806,0.42212939531193233,0.6729305730307222,0.9914717114752315,B-cell,RSRP1,False
57.95146364069683,0.17747343866284354,0.3271375723130234,0.5425039912353056,0.587471358680917,0.9914717114752315,B-cell,SH3BGRL3,False
170.72821828414058,0.3211523072626613,0.2191345165749315,1.465548706257079,0.14277127400817394,0.9914717114752315,B-cell,CD52,False
30.45761339979744,0.19560395357993876,0.3613242496387534,0.5413529642018233,0.5882643206532343,0.9914717114752315,B-cell,HMGN2,False
19.956843899249506,-0.2502936650760647,0.4360583212303143,-0.5739912596321406,0.5659737158830731,0.9914717114752315,B-cell,WASF2,False
13.058144413042465,0.04358959252658397,0.5176646888333667,0.08420429955309393,0.9328939997825774,0.9914717114752315,B-cell,DNAJC8,False
15.813070005717995,0.16117462141446348,0.4814872036857096,0.33474331234702986,0.7378187258989259,0.9914717114752315,B-cell,ATP5IF1,False
11.886866265411408,-0.2549879749288597,0.5178747413317529,-0.4923738398075555,0.6224550892024101,0.9914717114752315,B-cell,EPB41,False
75.47281724570449,-0.2770263064845173,0.2739666111926915,-1.0111681320526822,0.31193596555286296,0.9914717114752315,B-cell,LAPTM5,False
20.181056739582445,0.5091495259391918,0.4311117428312233,1.1810152110343228,0.2375966806684796,0.9914717114752315,B-cell,PTP4A2,False
14.762364278406137,-0.04330709759328526,0.49881894431659773,-0.08681927197576216,0.9308151686434777,0.9914717114752315,B-cell,KHDRBS1,False
11.640986530521923,-0.5118411697627884,0.5494688004737424,-0.9315199867972264,0.3515846507447664,0.9914717114752315,B-cell,MARCKSL1,False
