baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cell_type,gene,significant
11.85343313069414,0.45990158753462296,0.5298394724575134,0.8680017466450678,0.3853933764619023,0.9964566077389376,B-cell,ISG15,False
9.823681292922927,-0.2107759488817243,0.4492068717451722,-0.46921799762959565,0.6389138222959189,0.9964566077389376,B-cell,AURKAIP1,False
10.41968420621638,-0.11492057523275186,0.44180340041645766,-0.26011700028660745,0.7947735248399084,0.9964566077389376,B-cell,MRPL20,False
11.831094924011168,-0.13890030743509515,0.3928399879605326,-0.3535798587007645,0.7236537709351589,0.9964566077389376,B-cell,SSU72,False
13.735399592550863,0.19900282750514178,0.37777204489273486,0.5267801844936593,0.5983462450290892,0.9964566077389376,B-cell,GNB1,False
8.94380949999383,0.06276210755670784,0.4549640682978624,0.13794959191286693,0.8902802563647682,0.9964566077389376,B-cell,TNFRSF14,False
270.377880423886,-0.004410651314884571,0.15244505188270524,-0.028932728615411067,0.9769182428813113,0.9964566077389376,B-cell,RPL22,False
19.368901736982842,-0.05103754176717742,0.3090722377365134,-0.165131433806382,0.868840532030435,0.9964566077389376,B-cell,PARK7,False
11.22120013366631,0.011260940866737831,0.42876331206564555,0.02626376965996972,0.9790469525592378,0.9966763252188221,B-cell,RERE,False
14.23022555674201,-0.561610968030365,0.40417365595822974,-1.3895288813390796,0.16467198484902745,0.9964566077389376,B-cell,ENO1,False
8.563440692583201,0.5448757809781845,0.5876505320160778,0.9272105635790984,0.35381721922067866,0.9964566077389376,B-cell,TNFRSF1B,False
32.93979178067227,-0.07592489113425469,0.24273139205944333,-0.31279386852303465,0.7544372740236112,0.9964566077389376,B-cell,PRDM2,False
9.303300356990814,0.6025892412157687,0.49251289801597803,1.223499412184368,0.22114112606625513,0.9964566077389376,B-cell,EFHD2,False
10.443599840344653,0.4853957458536164,0.3815852543937143,1.2720505844096164,0.2033551470374506,0.9964566077389376,B-cell,SPEN,False
16.96653065906872,-0.12830178586219879,0.3460169595680084,-0.37079623502379666,0.7107893058041923,0.9964566077389376,B-cell,CAPZB,False
21.902933156455653,-0.11320285160896773,0.29529926776951215,-0.38334958452157475,0.7014605789583911,0.9964566077389376,B-cell,HP1BP3,False
50.22814030080816,-0.18920436020958256,0.25065162790644446,-0.7548499157571917,0.45033903982800316,0.9964566077389376,B-cell,CDC42,False
15.94142061327292,-0.471658402206394,0.3592831905290351,-1.312776146058738,0.18925839022952085,0.9964566077389376,B-cell,HNRNPR,False
11.182020406743085,-1.4304009849679298,0.649435597123431,-2.2025293829036436,0.027627935944209262,0.9783220312870805,B-cell,ID3,False
884.5340289440827,-0.12110707116118619,0.11380247683694206,-1.0641866023242206,0.2872441750706086,0.9964566077389376,B-cell,RPL11,False
18.51265124066274,-0.0035354397920277303,0.32650446967309993,-0.010828151282484598,0.9913605540975285,0.9995352300692293,B-cell,PNRC2,False
20.532729387339046,0.030459492629406414,0.2922812598425794,0.10421295106573605,0.9170003564714431,0.9964566077389376,B-cell,SRSF10,False
7.769339416354429,-0.5148476500081993,0.5629363575688425,-0.9145752323258632,0.36041466604481975,0.9964566077389376,B-cell,RCAN3,False
35.188216903744824,-0.18347821127429467,0.24524049581691934,-0.7481562564253972,0.4543659126519395,0.9964566077389376,B-cell,SRRM1,False
11.235694002629021,0.3525588032370082,0.46632195476903077,0.7560416138065611,0.4496242461266844,0.9964566077389376,B-cell,RUNX3,False
25.112031647288692,-0.229835159459469,0.30959451690538214,-0.7423747738068336,0.45786029921680205,0.9964566077389376,B-cell,SYF2,False
31.594036359844214,-0.4410451756454714,0.31312258498446693,-1.4085383705788912,0.15897171334779836,0.9964566077389376,B-cell,RSRP1,False
9.264085117218128,0.1521515334987358,0.43973398950226894,0.34600812566468836,0.7293366080970627,0.9964566077389376,B-cell,TMEM50A,False
78.39543291160373,-0.24679046709815963,0.21871715166838648,-1.1283544304396265,0.25917026471014537,0.9964566077389376,B-cell,SH3BGRL3,False
203.76615129199055,-0.1337665182676339,0.16245718951628907,-0.8233954967823787,0.41028312307204373,0.9964566077389376,B-cell,CD52,False
39.591103608467996,-0.21262938516030036,0.24434616166404974,-0.8701973614492189,0.3841925576334906,0.9964566077389376,B-cell,HMGN2,False
9.672389066811842,-0.8349105721132188,0.5029934564085,-1.6598835660302433,0.09693787813753357,0.9964566077389376,B-cell,ARID1A,False
23.016038599119973,0.21639601409463174,0.2614913635758751,0.8275455492503929,0.4079279161146725,0.9964566077389376,B-cell,WASF2,False
13.328052310143933,0.24847298129858383,0.3575812534475458,0.6948713863016668,0.48713590603421286,0.9964566077389376,B-cell,DNAJC8,False
19.866653218750322,-0.19142792183614854,0.34799273680023673,-0.550091716270609,0.5822564681005733,0.9964566077389376,B-cell,ATP5IF1,False
12.55361344338193,-0.48184420787811666,0.543238396375751,-0.8869848138363754,0.3750870765860139,0.9964566077389376,B-cell,SNHG12,False
13.177457188745166,0.34705282713385677,0.3393231492500021,1.0227796951105144,0.3064120205129658,0.9964566077389376,B-cell,EPB41,False
10.101849060544222,-0.5441049255493027,0.48763899393226484,-1.1157945371876499,0.26451009268705583,0.9964566077389376,B-cell,SRSF4,False
90.16727812963751,0.2518381933158759,0.1995507056310891,1.2620260726186112,0.20693940472532768,0.9964566077389376,B-cell,LAPTM5,False
