gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint,n_CCS,n_ACS
CASP9,1.2373783795047848,0.45540743636570236,0.5618825676084944,0.8105028748338368,0.417651213438035,,TP1M,14,14
DNAJC16,2.0432173225697463,0.5959785343605526,0.42626183867975526,1.3981512776429963,0.16206764422499287,,TP1M,14,14
AGMAT,0.8361161401355262,-0.3069666296797961,0.7554473337425371,-0.4063375644719833,0.6844945880434857,,TP1M,14,14
DDI2,3.259139226305609,0.3467536712148294,0.34175139245584585,1.0146371861809749,0.3102788064818365,,TP1M,14,14
PLEKHM2,4.398362557910497,-0.6225758367221782,0.329686636027585,-1.8883866335124577,0.05897406445243532,,TP1M,14,14
UQCRHL,0.6995488854429446,0.1011209050741754,0.8148467243918548,0.12409806905666221,0.901237627011986,,TP1M,14,14
AL450998.2,2.2834935146722253,0.2759400947511646,0.38257845964978565,0.721264064379792,0.4707470622029756,,TP1M,14,14
SPEN,11.465768067381452,0.09122975431020681,0.16700625979408584,0.5462654778490974,0.5848834628676539,0.869609922989364,TP1M,14,14
ZBTB17,1.6199406420237743,-0.6796674352321658,0.5199979340007976,-1.307057953101643,0.19119302995965948,,TP1M,14,14
FBXO42,2.285805066274924,0.08319833581029382,0.3867056707638891,0.2151464074626726,0.8296531730562521,,TP1M,14,14
SZRD1,7.573582037113293,0.19140307225810396,0.219499726109826,0.871996861455472,0.383210089747675,0.7734240192557513,TP1M,14,14
NECAP2,7.843887591381622,-0.07914432401152192,0.2001632152804672,-0.39539894430964995,0.6925484880385746,0.9049151242380498,TP1M,14,14
NBPF1,1.0058938308834324,-1.3040140197316814,0.7335464774163981,-1.7776842502529764,0.07545572782995838,,TP1M,14,14
BX284668.5,0.5976150021368968,0.2009539609220293,0.6914649636223441,0.29062059756332626,0.7713415051326039,,TP1M,14,14
BX284668.6,0.901979381892377,-0.3601962851088315,0.5920776741390177,-0.6083598501372621,0.5429488341930011,,TP1M,14,14
ATP13A2,0.9767707385608403,-0.33298309707295437,0.5997004082728745,-0.555249075170616,0.5787243059106459,,TP1M,14,14
SDHB,5.747893247099093,0.10633471794216312,0.23666191861059152,0.4493106392715784,0.6532075839013916,0.8915562479034673,TP1M,14,14
RCC2,5.032604088314791,0.2793127123952889,0.26199769555592684,1.0660884318185384,0.2863836684615493,0.695644437484494,TP1M,14,14
IFFO2,1.4048282774046992,0.5585713035206908,0.6029674037727532,0.926370646283237,0.3542533934012072,,TP1M,14,14
