variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
SAP30,36.879475009012154,1.5070537407381135,0.40761113591803966,3.697283042436662,0.0002179193249771213,0.9998769672548213,,SAP30,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
RNF141,25.05398819988221,1.054305527050394,0.30061106363760237,3.5072079992418304,0.0004528350380192087,0.9998769672548213,,RNF141,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
SBF1,8.000303598880498,1.604544699013557,0.5009993220125845,3.2026883640638,0.001361512276985176,0.9998769672548213,,SBF1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PWP1,12.747256224403637,1.1199313406547193,0.38258624461769375,2.927265045228772,0.0034195732624166995,0.9998769672548213,,PWP1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
GNS,48.00492856922159,0.6026657484369443,0.21020537257949415,2.8670330403140953,0.004143397531428754,0.9998769672548213,,GNS,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
MAP2K1,31.801778809945706,0.7894126402169093,0.2756112212109212,2.8642253270696245,0.004180305273675316,0.9998769672548213,,MAP2K1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
SH3TC1,13.735028307029339,1.0258237648949349,0.36043605346412233,2.8460631366807623,0.00442634177641088,0.9998769672548213,,SH3TC1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
RPN1,36.83818783697679,0.7025783048700863,0.24820822208162915,2.8306004490013503,0.004646071972385331,0.9998769672548213,,RPN1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PER1,61.0698557414446,0.7444006254413437,0.2659309351680912,2.7992253889936447,0.005122536759530972,0.9998769672548213,,PER1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CDK11A,13.066080693622721,-1.4384170971921988,0.5220517080473744,-2.7553153739737732,0.005863558655629097,0.9998769672548213,,CDK11A,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
APOBEC3A,89.29007218083383,-1.7412708293705164,0.634593248503724,-2.7439164117742707,0.006071099462679645,0.9998769672548213,,APOBEC3A,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
AL355075.4,36.47005461189712,1.48776162559215,0.5447357864440301,2.7311619001646275,0.006311145971120324,0.9998769672548213,,AL355075.4,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
TCEAL3,11.153069587765723,1.4913631493214872,0.554801040476129,2.6881044564040515,0.007185891384361355,0.9998769672548213,,TCEAL3,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
LINC01588,26.996005105268008,-1.1002864768964808,0.41269036596225656,-2.6661307547875004,0.0076729843551759415,0.9998769672548213,,LINC01588,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CCT3,27.647252140125534,0.7080418310424702,0.2666743509345704,2.6550803576013613,0.007928951798977736,0.9998769672548213,,CCT3,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CD300LB,22.468593027367078,-0.9914060206498934,0.380702657136958,-2.604147888290768,0.009210300517662669,0.9998769672548213,,CD300LB,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PRRC2B,25.63301737808301,0.7746781784067175,0.29784333692696613,2.6009585656659344,0.009296368138362592,0.9998769672548213,,PRRC2B,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
TAF9,34.51390170618686,-1.1176550318669738,0.4317084127618839,-2.588911864646556,0.009627973323196051,0.9998769672548213,,TAF9,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
TYMP,342.7558771944739,-0.8289271691421267,0.3256978832162464,-2.545080001615369,0.01092527044625121,0.9998769672548213,,TYMP,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CCL2,12.48223106915185,-3.803153321181512,1.497469853970589,-2.5397194548506805,0.011094141977773194,0.9998769672548213,,CCL2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ALG3,12.490560176824111,1.2271783131615903,0.48844892740101903,2.512398419403367,0.011991362188380907,0.9998769672548213,,ALG3,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ARID1B,40.210726596990135,-0.6276035886161946,0.25020038280381857,-2.508403790526159,0.01212779895727674,0.9998769672548213,,ARID1B,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
FAM118A,14.074495440583016,-1.666475316235496,0.6653019364253321,-2.5048406219730386,0.012250658217049263,0.9998769672548213,,FAM118A,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
LCORL,13.809682817783298,-1.2604646856831385,0.5049391510316317,-2.496270457752992,0.01255068684363783,0.9998769672548213,,LCORL,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
VSTM1,14.481233584764174,-1.6313240356464216,0.6617118507057999,-2.4653087804100937,0.013689522246113656,0.9998769672548213,,VSTM1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
MARVELD1,8.114959840408991,1.0887170959435712,0.4429644785324534,2.4577977438518412,0.013979187821039145,0.9998769672548213,,MARVELD1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
DCTN3,45.5339699938026,0.5243210363571223,0.21413099002752647,2.4485995057965266,0.014341281087370848,0.9998769672548213,,DCTN3,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
TOLLIP,16.345380443419064,-1.0276144586922764,0.42172971794802716,-2.4366659852482027,0.014823364581643973,0.9998769672548213,,TOLLIP,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CAAP1,9.679688523062564,0.9487498987871876,0.39058605059178575,2.429041941845376,0.015138780926065402,0.9998769672548213,,CAAP1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
HERC4,14.166170244714705,-1.154946512219311,0.47625787132380404,-2.425044459651716,0.015306512100360476,0.9998769672548213,,HERC4,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ZRANB2,47.56164108733909,0.5103840642469751,0.21116438603627277,2.4169987838730718,0.01564906940911143,0.9998769672548213,,ZRANB2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PRPF3,13.677734324884112,-1.1715342889501283,0.4847809030371189,-2.416626318426627,0.015665089786423666,0.9998769672548213,,PRPF3,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
DNAJB2,12.937194454201574,0.8868174142174889,0.3691382604982558,2.402399071341127,0.016287928549764644,0.9998769672548213,,DNAJB2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
NACC2,24.487022570102464,0.6454939086550903,0.2691552423092738,2.3982215732338705,0.01647489610406662,0.9998769672548213,,NACC2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
GPATCH2L,41.043942486865916,0.5871272086281489,0.24623305922782182,2.3844369658134417,0.017105278120442567,0.9998769672548213,,GPATCH2L,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ERF,10.396249347190087,-1.5215201022986433,0.6409798872798786,-2.3737407873365672,0.017608907543203586,0.9998769672548213,,ERF,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
THOC2,31.631553155672872,-0.7117914268809511,0.2998899597398601,-2.3735086946505155,0.017619978201957206,0.9998769672548213,,THOC2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
FKBP5,55.309229169700465,0.7552769455265369,0.31975231418276584,2.3620687389140564,0.01817327217553344,0.9998769672548213,,FKBP5,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ADGRE2,41.283438985607816,-0.6202022925526868,0.2630524051330534,-2.3577138260301593,0.018387862063943817,0.9998769672548213,,ADGRE2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
JDP2,40.95918506645319,0.6834195883487976,0.2909246539771696,2.3491291611278466,0.018817378049738053,0.9998769672548213,,JDP2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
HGS,19.34579597926402,-0.9436939761851496,0.40239783333094387,-2.3451765840126377,0.019018070042480014,0.9998769672548213,,HGS,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
POLD3,10.803858490202083,0.924145186918885,0.39540784758236774,2.3371948548046344,0.019429054589714365,0.9998769672548213,,POLD3,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ABI3,12.686368334403122,-1.4498940028225733,0.6225728835764108,-2.3288743231050506,0.019865724565309273,0.9998769672548213,,ABI3,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PHF5A,8.432916799672272,-1.4207273520077899,0.613443766319109,-2.3159862892285674,0.020559017312753933,0.9998769672548213,,PHF5A,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ROGDI,22.7985116808604,0.6561311622676284,0.2840131535016508,2.3102139960000643,0.02087630956250879,0.9998769672548213,,ROGDI,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
BTBD7,20.75997966419769,-1.0364570489769933,0.44950519135667166,-2.3057732566976945,0.021123305296223503,0.9998769672548213,,BTBD7,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
HOPX,6.819192232821908,1.600395350211828,0.6962292038366666,2.2986616209039057,0.0215241614752544,0.9998769672548213,,HOPX,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
BAG4,9.780033836573013,0.9372594725626325,0.4100875832736606,2.285510487980755,0.022282912161994108,0.9998769672548213,,BAG4,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
GBP2,45.27806264607722,-0.765545754231267,0.33548544733267077,-2.2819045067911516,0.022494978714372466,0.9998769672548213,,GBP2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
IFIH1,11.987030153610716,-1.5889346099236639,0.6979965967695904,-2.2764217150591257,0.02282078120751338,0.9998769672548213,,IFIH1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
FUOM,25.00510128014392,0.7215123624686809,0.3180599939588655,2.2684788284376114,0.023300037981855464,0.9998769672548213,,FUOM,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PTPN6,72.3235739517878,-0.4579374185225242,0.2021246215253133,-2.2656191762623727,0.02347470995008752,0.9998769672548213,,PTPN6,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
LINC02001,10.369542271343164,-1.2695767630951473,0.5608220544613244,-2.2637782394534915,0.023587757549980264,0.9998769672548213,,LINC02001,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
AP001160.1,6.432182274895265,-1.8514880753065295,0.8188085035136884,-2.2611979081328353,0.023747004594655882,0.9998769672548213,,AP001160.1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CFD,248.12687734153806,-0.6181520743026198,0.27554346408581254,-2.243392258834739,0.02487153064672347,0.9998769672548213,,CFD,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PCYT1A,13.302935008381388,-1.04279376644973,0.4669228973089237,-2.233331825146713,0.025527070301320797,0.9998769672548213,,PCYT1A,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CAST,218.90327768925508,0.4126318417327351,0.18516903919739083,2.228406236384194,0.025853437604300335,0.9998769672548213,,CAST,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PLSCR1,82.6714281710356,-0.7451533306254945,0.33453695124186117,-2.2274171144901977,0.025919409654197773,0.9998769672548213,,PLSCR1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
GLMP,10.550586332772884,0.9312645798617227,0.41811052606308285,2.2273167543292542,0.02592611156207682,0.9998769672548213,,GLMP,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
ZNF165,10.310185947672926,-1.8694381853313522,0.8441968777168657,-2.2144575923891785,0.026797316857380724,0.9998769672548213,,ZNF165,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
CFAP298,14.238773614457935,0.8831152278764837,0.4006109030326408,2.2044213504706573,0.02749472552413129,0.9998769672548213,,CFAP298,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
GRASP,26.032708751528617,1.0104365576107737,0.4592383486851336,2.20024429689681,0.0277895670181875,0.9998769672548213,,GRASP,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
SLMAP,15.75734139122954,0.7456913956066452,0.3395980996367758,2.1958055607620155,0.02810586348481645,0.9998769672548213,,SLMAP,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
PHACTR2,26.64519807766585,-0.8063693103431994,0.36765208934140553,-2.1932945132657644,0.02828616670527073,0.9998769672548213,,PHACTR2,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
XPO1,24.353715418373003,-0.769328682331457,0.35078208258194543,-2.193181238530722,0.028294323722860698,0.9998769672548213,,XPO1,False,Monocytes - CD14,0,TP4M,Harmony_leiden,9,3
