variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
SNRPC,16.502045766947052,0.38292473141390415,0.3150514748646284,1.2154354509162022,0.22420005388058983,0.9996783775182935,,SNRPC,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ITGB1BP1,10.104613432426119,0.4803988515384901,0.39548722923906193,1.2147013001223896,0.22448003650011983,0.9996783775182935,,ITGB1BP1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
NDFIP1,25.146111870860548,-0.37723633197526646,0.31086436120344263,-1.2135078158039068,0.22493572799910588,0.9996783775182935,,NDFIP1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CHMP1A,7.660166146755257,-0.7582996334025776,0.6256365946777389,-1.2120448833290713,0.22549520011948843,0.9996783775182935,,CHMP1A,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
FKBP3,9.137521922457166,-0.6121725179710638,0.5051666984670016,-1.2118227900389835,0.22558022248582865,0.9996783775182935,,FKBP3,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
NDE1,6.97179778449521,-0.7500537414551306,0.619031357977229,-1.2116571023252127,0.22564366641899136,0.9996783775182935,,NDE1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CYB561D2,8.27896850557866,-0.6631079575479721,0.5477321618600887,-1.2106427259923342,0.2260323617641381,0.9996783775182935,,CYB561D2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
RAB11B,8.270010214988318,-0.7727567630004234,0.6384762735230487,-1.2103139851014797,0.22615843331370733,0.9996783775182935,,RAB11B,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
FIS1,27.81642300320567,-0.358807413862167,0.29655877838696326,-1.2099031963032263,0.22631604060793598,0.9996783775182935,,FIS1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
PRPF4B,17.81096574755913,-0.4758413822300218,0.3933934266489988,-1.2095814266225307,0.22643954866972127,0.9996783775182935,,PRPF4B,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CLPTM1,5.999188008116975,0.6571672535655413,0.54385903393036,1.208341155641611,0.22691606411802656,0.9996783775182935,,CLPTM1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
EPC2,6.691281424591694,0.5750933786886886,0.4761349148288083,1.2078370242927052,0.2271099570044216,0.9996783775182935,,EPC2,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
UFM1,26.730993441721115,-0.35515897708797134,0.2940494352916454,-1.2078206398720543,0.22711626056299328,0.9996783775182935,,UFM1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
GADD45GIP1,14.405321918760183,0.45595217754034983,0.37756408506714795,1.207615330942457,0.22719525939759344,0.9996783775182935,,GADD45GIP1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
CSTB,101.29778388452682,0.2598178209673563,0.2152643943027972,1.2069707199319222,0.22744342033604692,0.9996783775182935,,CSTB,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
ORAI1,7.4241382778060325,0.6234904620656823,0.5170418792873972,1.2058800012969852,0.22786376275008957,0.9996783775182935,,ORAI1,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
RNF146,6.934163461747541,-0.9872256091946368,0.8191211940911863,-1.2052253272361755,0.22811632747117228,0.9996783775182935,,RNF146,False,Monocytes - CD16_FCGR3A,10,TP1M,DRVI_leiden,13,2
