variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
GNLY,3130.5978953791596,0.6248669311860294,0.16695936994431143,3.7426287089754298,0.0001821052045099124,0.99998751526102,,GNLY,False,NK,0,TP4M,DRVI_leiden,11,4
SEC14L1,29.941339632541613,0.6843812606254843,0.20344329880815687,3.3639901861345787,0.0007682427498101827,0.99998751526102,,SEC14L1,False,NK,0,TP4M,DRVI_leiden,11,4
BCL2,39.726875857245915,-0.8594770193142441,0.2586046510453699,-3.323517252454429,0.0008888992426054038,0.99998751526102,,BCL2,False,NK,0,TP4M,DRVI_leiden,11,4
GIMAP1,27.10888634077308,-0.8729137014159565,0.2675961624202833,-3.2620561278639295,0.0011060724113306406,0.99998751526102,,GIMAP1,False,NK,0,TP4M,DRVI_leiden,11,4
CLU,5.804312368286825,-2.4430244263557293,0.7687556294566809,-3.1778946816719125,0.0014834862719990635,0.99998751526102,,CLU,False,NK,0,TP4M,DRVI_leiden,11,4
KLRC2,13.261690546028609,1.334088084414278,0.42326871164638086,3.1518703076943697,0.001622283114863894,0.99998751526102,,KLRC2,False,NK,0,TP4M,DRVI_leiden,11,4
KDSR,10.540005260991533,-1.3227132432197464,0.4224583730918764,-3.1309907140415043,0.001742176691604863,0.99998751526102,,KDSR,False,NK,0,TP4M,DRVI_leiden,11,4
VPS35,19.708151621006948,-0.8274017841131038,0.27428104354566174,-3.01662037382237,0.0025560970727539615,0.99998751526102,,VPS35,False,NK,0,TP4M,DRVI_leiden,11,4
THEMIS,19.627227599206197,-1.3173704789584273,0.43927102585973704,-2.99899242473387,0.0027087404147849163,0.99998751526102,,THEMIS,False,NK,0,TP4M,DRVI_leiden,11,4
TC2N,30.669452129166416,-0.8126219924325881,0.2925597991553943,-2.777626983538366,0.0054757439422619516,0.99998751526102,,TC2N,False,NK,0,TP4M,DRVI_leiden,11,4
CENPL,7.086336349335883,1.0144063465732154,0.36788474724127684,2.757402567462026,0.005826257359636794,0.99998751526102,,CENPL,False,NK,0,TP4M,DRVI_leiden,11,4
CDK6,22.750281622261323,-0.753628437453401,0.27395824549179326,-2.750887954113346,0.005943396841047627,0.99998751526102,,CDK6,False,NK,0,TP4M,DRVI_leiden,11,4
JAKMIP1,7.921687964509655,-1.3610334258406758,0.4961108828565244,-2.743405703991153,0.006080550913840007,0.99998751526102,,JAKMIP1,False,NK,0,TP4M,DRVI_leiden,11,4
STYXL1,5.239385947940437,1.1603355225174725,0.4229657434010124,2.7433321507017707,0.006081913224512845,0.99998751526102,,STYXL1,False,NK,0,TP4M,DRVI_leiden,11,4
CYB5R3,20.11772948108788,0.6379232863255013,0.23425272413546488,2.723226757254698,0.006464766847671145,0.99998751526102,,CYB5R3,False,NK,0,TP4M,DRVI_leiden,11,4
TFIP11,14.577536387030738,0.7390201508438434,0.27149918165018944,2.721997710460973,0.006488859202097949,0.99998751526102,,TFIP11,False,NK,0,TP4M,DRVI_leiden,11,4
PLK2,23.51490417945114,0.7041054955494916,0.2601225943384342,2.7068217481846677,0.006793072073570176,0.99998751526102,,PLK2,False,NK,0,TP4M,DRVI_leiden,11,4
TRMT13,6.826935718070925,-1.309527940435681,0.4899834458229019,-2.672596291975531,0.007526676955401482,0.99998751526102,,TRMT13,False,NK,0,TP4M,DRVI_leiden,11,4
AL109955.1,9.225975473238035,0.9125515918991728,0.3439173797384917,2.653403537189833,0.007968454295178245,0.99998751526102,,AL109955.1,False,NK,0,TP4M,DRVI_leiden,11,4
RANBP1,45.464113965417276,-0.48002391080603984,0.18274267485664153,-2.626775115241201,0.0086198280566318,0.99998751526102,,RANBP1,False,NK,0,TP4M,DRVI_leiden,11,4
GPN3,10.5864150274635,-1.0671093082166856,0.40720102835216554,-2.6205958087458514,0.008777626198501582,0.99998751526102,,GPN3,False,NK,0,TP4M,DRVI_leiden,11,4
S1PR4,33.373804525607106,-0.6679430244886051,0.2548947311467888,-2.620466188074912,0.008780963723666792,0.99998751526102,,S1PR4,False,NK,0,TP4M,DRVI_leiden,11,4
ATG2B,8.190379091500613,-1.1455624807474114,0.4412258948198014,-2.59631742877481,0.009422896783356576,0.99998751526102,,ATG2B,False,NK,0,TP4M,DRVI_leiden,11,4
TAF1,14.655317371381745,-0.7708748730613375,0.2976551314810575,-2.58982557843252,0.009602457187212338,0.99998751526102,,TAF1,False,NK,0,TP4M,DRVI_leiden,11,4
ANXA1,464.25077559904463,-0.43666577749129043,0.17017218447824228,-2.5660232242427448,0.01028719401720261,0.99998751526102,,ANXA1,False,NK,0,TP4M,DRVI_leiden,11,4
AP3M1,10.50707351022825,-0.91298351068885,0.36214648117699,-2.521033775398337,0.011701062011860289,0.99998751526102,,AP3M1,False,NK,0,TP4M,DRVI_leiden,11,4
MAP3K8,80.6509957712133,0.6122009531466118,0.24345763671190027,2.514609775297664,0.011916419816716777,0.99998751526102,,MAP3K8,False,NK,0,TP4M,DRVI_leiden,11,4
MIR22HG,29.701810258352843,0.5158069624717762,0.2074127229700804,2.4868626913797476,0.012887512916196492,0.99998751526102,,MIR22HG,False,NK,0,TP4M,DRVI_leiden,11,4
KIAA0930,5.711828636683049,-1.3633293834780995,0.5531200690659098,-2.464798259409468,0.01370904139637999,0.99998751526102,,KIAA0930,False,NK,0,TP4M,DRVI_leiden,11,4
MT-CO2,4773.095530738063,0.2603372713498403,0.10580791431373028,2.4604706844321322,0.013875490726736,0.99998751526102,,MT-CO2,False,NK,0,TP4M,DRVI_leiden,11,4
UVSSA,10.246206819282806,-0.8916509085856279,0.36284129063345705,-2.4574130111514108,0.01399416975977359,0.99998751526102,,UVSSA,False,NK,0,TP4M,DRVI_leiden,11,4
ASCL2,24.452206390753528,0.5668052617997958,0.23099370995141197,2.453769247305564,0.014136766405145306,0.99998751526102,,ASCL2,False,NK,0,TP4M,DRVI_leiden,11,4
SOCS2,7.63485784201389,0.8671011393170835,0.35439759151421385,2.4466902712636145,0.014417467590889221,0.99998751526102,,SOCS2,False,NK,0,TP4M,DRVI_leiden,11,4
CCDC50,9.22478973068474,0.9445312521486183,0.3934305831691462,2.400757065046312,0.016361194406433632,0.99998751526102,,CCDC50,False,NK,0,TP4M,DRVI_leiden,11,4
ZNF451,38.71393701231842,0.4173018601820119,0.17491967793591096,2.3856770439224544,0.01704771453691768,0.99998751526102,,ZNF451,False,NK,0,TP4M,DRVI_leiden,11,4
CEMIP2,79.89149454865476,0.4855413798970193,0.2037375157443532,2.383171200076226,0.017164209903222913,0.99998751526102,,CEMIP2,False,NK,0,TP4M,DRVI_leiden,11,4
FOSL2,94.67634824793612,0.41093062217281534,0.17299816696325565,2.375346683644896,0.017532474317186405,0.99998751526102,,FOSL2,False,NK,0,TP4M,DRVI_leiden,11,4
HDGFL3,9.937466204601321,-0.9351653403047102,0.3942262097486439,-2.3721541520564187,0.017684710717048087,0.99998751526102,,HDGFL3,False,NK,0,TP4M,DRVI_leiden,11,4
PRDX3,8.63803500349214,-0.9497616713909529,0.4007319986688281,-2.370066963821006,0.017784863809979845,0.99998751526102,,PRDX3,False,NK,0,TP4M,DRVI_leiden,11,4
ZNF92,27.91663222443646,0.497840862436766,0.2105624890335018,2.36433784916722,0.018062332365627282,0.99998751526102,,ZNF92,False,NK,0,TP4M,DRVI_leiden,11,4
PLEKHA5,6.82248314835255,-1.3773346695866222,0.5861699438120943,-2.349719026242239,0.018787587065125042,0.99998751526102,,PLEKHA5,False,NK,0,TP4M,DRVI_leiden,11,4
TTC5,7.4792240335304125,-0.9881110975036492,0.42140926388914174,-2.3447778256806124,0.019038420536357938,0.99998751526102,,TTC5,False,NK,0,TP4M,DRVI_leiden,11,4
PDE4DIP,7.818438607831927,-0.9566699535441077,0.40940168588201387,-2.336751377764995,0.0194521153628263,0.99998751526102,,PDE4DIP,False,NK,0,TP4M,DRVI_leiden,11,4
ETHE1,23.479023841817163,-0.5824052287991849,0.24938566540788878,-2.3353596841527273,0.019524638670527266,0.99998751526102,,ETHE1,False,NK,0,TP4M,DRVI_leiden,11,4
FCGR3A,159.87987387173862,0.4800853152313071,0.20670460779835878,2.3225670697173446,0.020202421478436264,0.99998751526102,,FCGR3A,False,NK,0,TP4M,DRVI_leiden,11,4
UBE2D1,32.5261779520761,-0.6777852443819918,0.2937351087077313,-2.307470997811138,0.02102857723844866,0.99998751526102,,UBE2D1,False,NK,0,TP4M,DRVI_leiden,11,4
CHORDC1,35.61051870431712,0.4822067541536671,0.20901775625883845,2.3070133503706898,0.021054075864417387,0.99998751526102,,CHORDC1,False,NK,0,TP4M,DRVI_leiden,11,4
FLII,12.649639331460671,-0.7200209427572569,0.31471204044100537,-2.2878722458419225,0.02214496200983801,0.99998751526102,,FLII,False,NK,0,TP4M,DRVI_leiden,11,4
ANKRD36C,20.335946940198927,-0.6150366224069278,0.2688761580005329,-2.28743458319465,0.022170469649721563,0.99998751526102,,ANKRD36C,False,NK,0,TP4M,DRVI_leiden,11,4
