variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
TC2N,17.931159037964292,-0.9761936023012019,0.2638857769795638,-3.6993035906471063,0.00021619187171482323,0.6339184009574841,,TC2N,False,NK,0,TP3M,DRVI_leiden,16,5
EVI2A,12.976254652899012,-1.0512152431465696,0.28788569132527436,-3.6515022275241513,0.0002607108373257183,0.6339184009574841,,EVI2A,False,NK,0,TP3M,DRVI_leiden,16,5
KLF6,301.3212412422073,-0.4019909331114624,0.12510964547577735,-3.2131090419346795,0.0013130642794592058,0.9996736606099077,,KLF6,False,NK,0,TP3M,DRVI_leiden,16,5
RICTOR,26.865488847235277,-0.5882004137929994,0.1911235244882384,-3.0775929617664453,0.0020867973878953327,0.9996736606099077,,RICTOR,False,NK,0,TP3M,DRVI_leiden,16,5
ATP5MF,49.144439482014214,0.42314297341898094,0.14256895830032013,2.9679881123044636,0.0029975592345294283,0.9996736606099077,,ATP5MF,False,NK,0,TP3M,DRVI_leiden,16,5
ATF6B,16.679727067737254,-0.681998065086807,0.23093656769561402,-2.9531835165477767,0.00314514925709577,0.9996736606099077,,ATF6B,False,NK,0,TP3M,DRVI_leiden,16,5
NECAP1,16.27198622385387,-0.6940198280728985,0.24134412678171,-2.875644157276812,0.004032039816867359,0.9996736606099077,,NECAP1,False,NK,0,TP3M,DRVI_leiden,16,5
FOSB,251.07839532171073,-0.3920317952510411,0.14220354021978412,-2.7568356923121065,0.005836367054722357,0.9996736606099077,,FOSB,False,NK,0,TP3M,DRVI_leiden,16,5
ADPGK,12.272500068012494,-0.7858578861429372,0.2890294089994846,-2.7189547557229328,0.006548856523936869,0.9996736606099077,,ADPGK,False,NK,0,TP3M,DRVI_leiden,16,5
ZFP36L1,101.05105788444669,-0.5527687616192323,0.20414260755761,-2.7077579160599208,0.006773941369730528,0.9996736606099077,,ZFP36L1,False,NK,0,TP3M,DRVI_leiden,16,5
NXT1,43.82672394905795,0.3840695023989316,0.14223180658275764,2.7003067149784155,0.006927557738775191,0.9996736606099077,,NXT1,False,NK,0,TP3M,DRVI_leiden,16,5
ERN1,18.62305984679133,-0.6538987365046735,0.24236267303148207,-2.6980175136941744,0.006975377081234132,0.9996736606099077,,ERN1,False,NK,0,TP3M,DRVI_leiden,16,5
ASNA1,13.654895736033184,0.6107332855176786,0.22783046876695007,2.680647978398374,0.007347976831915202,0.9996736606099077,,ASNA1,False,NK,0,TP3M,DRVI_leiden,16,5
PBDC1,17.025618898281063,0.5391903706600193,0.2020133254020956,2.66908318838271,0.007605860973186203,0.9996736606099077,,PBDC1,False,NK,0,TP3M,DRVI_leiden,16,5
WAS,29.38890732545232,0.5266828815385101,0.1988911617083788,2.6480959586869477,0.00809465450242459,0.9996736606099077,,WAS,False,NK,0,TP3M,DRVI_leiden,16,5
CERK,11.872001060439539,-0.7271303536163978,0.280188736649351,-2.595144838125248,0.009455106550303388,0.9996736606099077,,CERK,False,NK,0,TP3M,DRVI_leiden,16,5
FOS,825.1925832783312,-0.44896528044882233,0.17331802118855688,-2.590413145557334,0.009586080806942149,0.9996736606099077,,FOS,False,NK,0,TP3M,DRVI_leiden,16,5
FCGR3A,101.05467441333178,0.6960444119829292,0.271625275866903,2.5625170918335027,0.010391647268226454,0.9996736606099077,,FCGR3A,False,NK,0,TP3M,DRVI_leiden,16,5
PTAR1,14.180624126823467,-0.628371552918307,0.24529288404267288,-2.5617194537489767,0.01041554153961598,0.9996736606099077,,PTAR1,False,NK,0,TP3M,DRVI_leiden,16,5
RAB9A,14.568234400622547,-0.7284654320727122,0.2851553588861047,-2.55462648472853,0.010630180012813347,0.9996736606099077,,RAB9A,False,NK,0,TP3M,DRVI_leiden,16,5
APOBEC3G,46.47542450948779,0.5450133276265147,0.21444945344160318,2.5414535634380973,0.01103926092296734,0.9996736606099077,,APOBEC3G,False,NK,0,TP3M,DRVI_leiden,16,5
ZCCHC2,13.753496999399674,-0.6645162792600748,0.2633749971103705,-2.523080347606425,0.011633181753181546,0.9996736606099077,,ZCCHC2,False,NK,0,TP3M,DRVI_leiden,16,5
UGCG,13.668738202384485,-0.7837652835659156,0.31103815320980865,-2.519836474971712,0.011740936511546809,0.9996736606099077,,UGCG,False,NK,0,TP3M,DRVI_leiden,16,5
CS,12.579972835771915,-0.6798706322575446,0.27048729033465063,-2.5135030611471585,0.011953874050728033,0.9996736606099077,,CS,False,NK,0,TP3M,DRVI_leiden,16,5
RASGRP1,38.5736005958476,-0.467389500617115,0.18612347415689226,-2.5111797570634766,0.01203284071479363,0.9996736606099077,,RASGRP1,False,NK,0,TP3M,DRVI_leiden,16,5
HMGN3,45.72525804737607,0.43093759090426476,0.17238243619453975,2.4998926829061414,0.012423093328810456,0.9996736606099077,,HMGN3,False,NK,0,TP3M,DRVI_leiden,16,5
IL7R,71.52033573320475,-0.8768805374917924,0.35259417427807943,-2.4869399481348933,0.012884714639061842,0.9996736606099077,,IL7R,False,NK,0,TP3M,DRVI_leiden,16,5
CCL3,129.10759716786183,-0.8811116570029363,0.3598903452529495,-2.448278117557295,0.014354080921624568,0.9996736606099077,,CCL3,False,NK,0,TP3M,DRVI_leiden,16,5
PDCD10,25.721747869274957,0.39605464005510554,0.16386997561687372,2.4168834990314343,0.015654026466811855,0.9996736606099077,,PDCD10,False,NK,0,TP3M,DRVI_leiden,16,5
AC025171.3,9.057496921611607,-0.7920012449034434,0.32893072773200605,-2.4078055898405473,0.01604872460860915,0.9996736606099077,,AC025171.3,False,NK,0,TP3M,DRVI_leiden,16,5
ZFAS1,120.7944819000295,-0.4072469712398438,0.16919607019489555,-2.406952896546234,0.01608624450279809,0.9996736606099077,,ZFAS1,False,NK,0,TP3M,DRVI_leiden,16,5
ROMO1,35.57188403831622,0.3898345367657747,0.16217065984569914,2.4038536757308093,0.016223265487527262,0.9996736606099077,,ROMO1,False,NK,0,TP3M,DRVI_leiden,16,5
CNPY2,21.417024257433837,0.43521740658001395,0.18118040071831584,2.4021218898651933,0.016300276047052004,0.9996736606099077,,CNPY2,False,NK,0,TP3M,DRVI_leiden,16,5
TMEM70,18.722263749803666,0.44409720932002306,0.1860824918162016,2.3865609546902946,0.0170067878240211,0.9996736606099077,,TMEM70,False,NK,0,TP3M,DRVI_leiden,16,5
PCSK7,35.66003513586801,-0.4478325993554083,0.18846015614991213,-2.376272038102188,0.017488563942629674,0.9996736606099077,,PCSK7,False,NK,0,TP3M,DRVI_leiden,16,5
UBE2Q1,12.166151494514711,0.5562537466620773,0.23456080964852757,2.371469247124374,0.01771752104728003,0.9996736606099077,,UBE2Q1,False,NK,0,TP3M,DRVI_leiden,16,5
LIMA1,8.069424780267886,-0.8330856482487836,0.3515221625426234,-2.369937765012949,0.017791079678199387,0.9996736606099077,,LIMA1,False,NK,0,TP3M,DRVI_leiden,16,5
PRPF3,10.645247866296524,-0.6508984844334141,0.27562821163937046,-2.3615089346697355,0.018200733334669244,0.9996736606099077,,PRPF3,False,NK,0,TP3M,DRVI_leiden,16,5
UBP1,9.78550956882676,-0.7638128777598632,0.3237055613090978,-2.3595914591980662,0.018295070522921775,0.9996736606099077,,UBP1,False,NK,0,TP3M,DRVI_leiden,16,5
LINC02084,7.658156673723819,0.6863755424652513,0.29186145504196764,2.351716989715395,0.0186869867388499,0.9996736606099077,,LINC02084,False,NK,0,TP3M,DRVI_leiden,16,5
RFTN1,14.65284959224841,-0.585257662343469,0.2494061817043985,-2.346604476055565,0.0189453539743117,0.9996736606099077,,RFTN1,False,NK,0,TP3M,DRVI_leiden,16,5
PDIA3,106.54523338520346,0.2620447211589128,0.11175653040784753,2.3447821814313596,0.019038198139312658,0.9996736606099077,,PDIA3,False,NK,0,TP3M,DRVI_leiden,16,5
UBA3,7.594325080101991,-0.8062962219313257,0.34440314774741315,-2.3411406870260865,0.01922492117269159,0.9996736606099077,,UBA3,False,NK,0,TP3M,DRVI_leiden,16,5
PARK7,67.13646617385956,0.35459457255225674,0.15193822530673645,2.3338075183936953,0.0196058029544281,0.9996736606099077,,PARK7,False,NK,0,TP3M,DRVI_leiden,16,5
ATP8A1,16.25759979442115,-0.5636685115576312,0.2428103180381678,-2.321435580299463,0.020263347107074888,0.9996736606099077,,ATP8A1,False,NK,0,TP3M,DRVI_leiden,16,5
HMGXB3,15.11898183347452,-0.5619090111574959,0.2422686585141299,-2.3193632003568614,0.020375351234557842,0.9996736606099077,,HMGXB3,False,NK,0,TP3M,DRVI_leiden,16,5
BRIX1,16.274514041652203,-0.5517005156095574,0.23801781223203797,-2.317895918947938,0.020454978304391903,0.9996736606099077,,BRIX1,False,NK,0,TP3M,DRVI_leiden,16,5
HLA-A,758.6056765881167,0.30733326748583323,0.13300897720625138,2.310620485482454,0.020853826711996454,0.9996736606099077,,HLA-A,False,NK,0,TP3M,DRVI_leiden,16,5
RBM26,25.844224695061023,-0.4770664768836567,0.20673617829900273,-2.3076100216657536,0.021020836612291868,0.9996736606099077,,RBM26,False,NK,0,TP3M,DRVI_leiden,16,5
MT-CO2,2630.7976170311576,0.2641427285528255,0.11449121019838093,2.3071005022581277,0.02104921796926841,0.9996736606099077,,MT-CO2,False,NK,0,TP3M,DRVI_leiden,16,5
CBLB,32.38926296547485,-0.43497334368378604,0.18939993206605232,-2.296586587645085,0.021642364490420056,0.9996736606099077,,CBLB,False,NK,0,TP3M,DRVI_leiden,16,5
TSHZ1,13.664349084434615,-0.5583855809630066,0.2435323806476203,-2.2928596988954983,0.021856083692404337,0.9996736606099077,,TSHZ1,False,NK,0,TP3M,DRVI_leiden,16,5
SRSF7,296.45977424973654,-0.2322617491696914,0.10275997521473762,-2.2602355507028276,0.023806635540874675,0.9996736606099077,,SRSF7,False,NK,0,TP3M,DRVI_leiden,16,5
MRPS22,14.10886897645077,0.5002749373265633,0.22170100312398897,2.2565298770740267,0.024037466367408958,0.9996736606099077,,MRPS22,False,NK,0,TP3M,DRVI_leiden,16,5
JUN,551.7078020864667,-0.5564830862761981,0.24712006245924928,-2.2518733636527934,0.024330275835036,0.9996736606099077,,JUN,False,NK,0,TP3M,DRVI_leiden,16,5
DUSP1,230.56827943571096,-0.39805242086720605,0.17752614769064523,-2.242218546649517,0.02494725105016085,0.9996736606099077,,DUSP1,False,NK,0,TP3M,DRVI_leiden,16,5
IL27RA,19.484354422883342,-0.4516870157679314,0.20178120748694553,-2.2384989236282267,0.025188537529158908,0.9996736606099077,,IL27RA,False,NK,0,TP3M,DRVI_leiden,16,5
PIN4,14.040226278713472,0.4689982711003864,0.2095285073769503,2.238350652002877,0.025198197414548665,0.9996736606099077,,PIN4,False,NK,0,TP3M,DRVI_leiden,16,5
BAX,52.826002821116205,0.36954375245454807,0.1657563502798341,2.229439486515448,0.025784677421217574,0.9996736606099077,,BAX,False,NK,0,TP3M,DRVI_leiden,16,5
MAP4,20.00731647839424,0.4753688139939572,0.21331282363008094,2.2285055624143997,0.0258468208267609,0.9996736606099077,,MAP4,False,NK,0,TP3M,DRVI_leiden,16,5
PPP1R7,22.1410011934763,0.3903259302187414,0.17595281170803914,2.218355742256705,0.02653058624847322,0.9996736606099077,,PPP1R7,False,NK,0,TP3M,DRVI_leiden,16,5
BIRC3,23.17444953714786,-0.586876573308754,0.26808100801793405,-2.1891762405992337,0.02858403284616389,0.9996736606099077,,BIRC3,False,NK,0,TP3M,DRVI_leiden,16,5
CTSZ,8.73861269563839,0.5635094455991849,0.25904835667828235,2.1753060039636507,0.029607192911796767,0.9996736606099077,,CTSZ,False,NK,0,TP3M,DRVI_leiden,16,5
MGST3,31.154618559172004,0.4545889011184555,0.2091416400071825,2.1735934608853777,0.02973567994734126,0.9996736606099077,,MGST3,False,NK,0,TP3M,DRVI_leiden,16,5
CCNDBP1,23.618114155979164,0.40022156376191226,0.18434592266282704,2.171035615981194,0.029928480217391622,0.9996736606099077,,CCNDBP1,False,NK,0,TP3M,DRVI_leiden,16,5
TNIP2,12.443830869830487,0.5075798026295383,0.23396555102769082,2.1694638394413204,0.03004748681118568,0.9996736606099077,,TNIP2,False,NK,0,TP3M,DRVI_leiden,16,5
TXLNG,10.438270123938505,-0.6803848802813951,0.31369385925052135,-2.168945486873646,0.030086822802008875,0.9996736606099077,,TXLNG,False,NK,0,TP3M,DRVI_leiden,16,5
LTN1,14.127818435318519,-0.5378070890070856,0.2482522644285015,-2.1663733470676076,0.030282668958230733,0.9996736606099077,,LTN1,False,NK,0,TP3M,DRVI_leiden,16,5
MRFAP1L1,13.326464500218714,-0.5600757054258911,0.2592428577352274,-2.1604286818883685,0.030739499072022933,0.9996736606099077,,MRFAP1L1,False,NK,0,TP3M,DRVI_leiden,16,5
DUSP6,18.715270476446808,-0.6496975219585116,0.3011044074072996,-2.15771508478677,0.030949990398855702,0.9996736606099077,,DUSP6,False,NK,0,TP3M,DRVI_leiden,16,5
