variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
TNFRSF10D,16.60815081164675,1.5323001913168284,0.3148614739098531,4.8665852074221565,1.1354298312768818e-06,0.007455883003048474,,TNFRSF10D,True,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
LGALS2,246.3650169697893,-2.9225046804657815,0.6139332044608024,-4.760297470850307,1.933078299986641e-06,0.007455883003048474,,LGALS2,True,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
HP,19.777497393389112,1.5951816994697574,0.3545239536175347,4.4995033006730525,6.811242234019676e-06,0.017513974197742595,,HP,True,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
NFXL1,7.6371087818343035,-2.5311841361518383,0.6187403700776467,-4.090866312528139,4.297648237629464e-05,0.08288014626268421,,NFXL1,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
SERPINB1,446.49887828065516,0.51163926048948,0.13312271525399344,3.8433655707314145,0.00012135848690214359,0.18091838384348888,,SERPINB1,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
GK,40.204430759559884,1.074776145366403,0.2823231750758192,3.8069001777050957,0.00014071951037865352,0.18091838384348888,,GK,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
CSRNP1,119.39792452234417,-0.5092924470369019,0.13614183801473942,-3.740895924893884,0.00018336544471942936,0.20206872008081117,,CSRNP1,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
IL1RAP,31.504790331292945,1.2806570477936638,0.35575089435997115,3.599870212828796,0.00031837605146784674,0.3069941076278712,,IL1RAP,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
ATP13A3,79.47330565863187,0.9000293674994109,0.2546818618438028,3.533935871928727,0.00040942040199439325,0.35091877566497215,,ATP13A3,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
IL4R,25.77593705792247,0.774886464211636,0.2224057722362435,3.4841112999015933,0.0004937741061871543,0.3675835158220824,,IL4R,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
CKAP4,112.98803197530806,0.7926258705017049,0.22931409236103578,3.4565074581364237,0.0005472240644213634,0.3675835158220824,,CKAP4,False,Monocytes - CD14,0,TP1M,Harmony_leiden,16,3
