variable,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,contrast,gene,significant,cell_type,cluster_id,timepoint,grouping,n_sterile,n_infection
CCSER2,70.2527457683763,0.611486958134974,0.16749080871076946,3.6508687422419506,0.00026135478867392694,0.9965771236355611,,CCSER2,False,NK,0,TP2M,DRVI_leiden,19,3
ME2,23.593497503997046,0.8039168506865664,0.23415284679999868,3.4332994950654214,0.0005962830453962826,0.9965771236355611,,ME2,False,NK,0,TP2M,DRVI_leiden,19,3
PAK1,5.965519474956339,1.2964783518508773,0.4031915732611085,3.2155393064509132,0.0013019966301061705,0.9965771236355611,,PAK1,False,NK,0,TP2M,DRVI_leiden,19,3
MED8,10.538078063510032,1.0514538846267452,0.3273321153632318,3.212192862469283,0.0013172591319299451,0.9965771236355611,,MED8,False,NK,0,TP2M,DRVI_leiden,19,3
NDUFAF4,13.77653337267465,1.034611976614294,0.3250867410623816,3.1825720521027345,0.0014597319099549266,0.9965771236355611,,NDUFAF4,False,NK,0,TP2M,DRVI_leiden,19,3
LTB,135.01288079255232,-0.9967342669274362,0.3149517994989031,-3.1647200254555377,0.001552322437136321,0.9965771236355611,,LTB,False,NK,0,TP2M,DRVI_leiden,19,3
ECHS1,17.808428741621128,-1.5175927256553312,0.4803975207675433,-3.159035298997037,0.0015829231674663402,0.9965771236355611,,ECHS1,False,NK,0,TP2M,DRVI_leiden,19,3
TC2N,28.447608665923966,-1.1933742413160482,0.37888037968339006,-3.149738823407237,0.0016341648159962322,0.9965771236355611,,TC2N,False,NK,0,TP2M,DRVI_leiden,19,3
COG2,15.576773285735415,0.9111888108374906,0.289943309301421,3.1426447226282828,0.0016742892233743971,0.9965771236355611,,COG2,False,NK,0,TP2M,DRVI_leiden,19,3
USP8,48.251345654652575,0.56325910471877,0.18041012851172655,3.1221035612873504,0.001795637617273125,0.9965771236355611,,USP8,False,NK,0,TP2M,DRVI_leiden,19,3
ASPSCR1,9.731240420639947,1.1121206034136863,0.36334433110031283,3.060789747416343,0.0022075405173698284,0.9965771236355611,,ASPSCR1,False,NK,0,TP2M,DRVI_leiden,19,3
DDX52,32.90111237655433,0.7089459980059429,0.23508208028251223,3.015738150496031,0.0025635453701411018,0.9965771236355611,,DDX52,False,NK,0,TP2M,DRVI_leiden,19,3
FCHO2,6.338398441820636,1.2235196254097422,0.41267935285344653,2.9648190948972597,0.0030286096936245847,0.9965771236355611,,FCHO2,False,NK,0,TP2M,DRVI_leiden,19,3
PHF3,77.89841795249114,0.4666682548873872,0.15941296587272363,2.9274171792273047,0.0034179007827378695,0.9965771236355611,,PHF3,False,NK,0,TP2M,DRVI_leiden,19,3
CBX3,69.64939788774039,0.4689254781804562,0.16306929810114093,2.875620878000059,0.004032337162822578,0.9965771236355611,,CBX3,False,NK,0,TP2M,DRVI_leiden,19,3
CD320,29.969994942193193,0.6727681243299712,0.23581868065275013,2.8529042842057195,0.004332166792181658,0.9965771236355611,,CD320,False,NK,0,TP2M,DRVI_leiden,19,3
NKAPD1,16.801778437688828,0.7869549515966568,0.27584808221294205,2.8528563449977655,0.004332820352343337,0.9965771236355611,,NKAPD1,False,NK,0,TP2M,DRVI_leiden,19,3
C11orf68,5.822468332987797,1.2522838812535675,0.44045393051105647,2.843166548203007,0.004466772228361793,0.9965771236355611,,C11orf68,False,NK,0,TP2M,DRVI_leiden,19,3
ATP8B2,14.064493897552586,-1.4834432407003817,0.5281513368801265,-2.8087465412154695,0.004973478523817887,0.9965771236355611,,ATP8B2,False,NK,0,TP2M,DRVI_leiden,19,3
STAMBP,12.446934249064133,-1.7365659024969162,0.6205241159043229,-2.7985469992026437,0.0051333098225149545,0.9965771236355611,,STAMBP,False,NK,0,TP2M,DRVI_leiden,19,3
ZNF236,10.32675945996461,0.9277715341253997,0.33188377624154797,2.7954711876309353,0.005182412102726634,0.9965771236355611,,ZNF236,False,NK,0,TP2M,DRVI_leiden,19,3
