gene,cluster,timepoint,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,0,TP1M,15.639744352860568,0.04898097016532172,0.13637843749146783,0.35915479797446787,0.7194792896598698,0.8726329430584759
ISG15,0,TP1M,71.46769354616299,-0.15153817404717154,0.19802508529707297,-0.7652473615645071,0.4441242621096546,0.7096383832313665
TNFRSF18,0,TP1M,10.879500463413912,-0.1647015599316929,0.30300526128314337,-0.5435600663639548,0.5867442460953829,
TNFRSF4,0,TP1M,26.05280364177741,-0.40389377750128425,0.1716954443303438,-2.352384939953261,0.018653459757182245,0.12384275238790125
SDF4,0,TP1M,33.424161475312566,0.04108841524188089,0.09983212643023637,0.411575078194832,0.6806509014189449,0.8549469048744898
UBE2J2,0,TP1M,22.948860669007978,-0.1544719685680457,0.12830173192963948,-1.2039741494117786,0.2285995701935154,0.5142496362944378
INTS11,0,TP1M,12.727190192157806,-0.163114882964231,0.16304436303742442,-1.0004325198706219,0.3171012388362815,0.6070631013909636
AURKAIP1,0,TP1M,55.05409247161907,0.0363487020586579,0.08607702858896876,0.42228109699544375,0.6728198539714301,0.850238937616629
CCNL2,0,TP1M,19.476013283966914,-0.04356899133000392,0.12349675689109961,-0.3527946192823784,0.7242424179302894,0.8749352628002786
MRPL20,0,TP1M,55.114678591162956,-0.027472564544935754,0.10102577973544345,-0.2719361792294823,0.7856710921013362,0.9027376719118072
SSU72,0,TP1M,71.27354406932912,0.061546898223466345,0.07177893399232303,0.8574507143007859,0.39119584185240897,0.672193605223513
MIB2,0,TP1M,20.165305544148826,-0.14743523262879854,0.135119585648491,-1.0911462755099492,0.2752085233671864,0.5631834289572503
CDK11B,0,TP1M,15.267027086889538,-0.31102048334026344,0.14865260686712659,-2.0922639023631096,0.03641491491725854,0.18371886039202792
CDK11A,0,TP1M,15.959968311074569,-0.19217867296486377,0.16980037054859343,-1.13179183498817,0.257721961261441,0.5425960740350928
GNB1,0,TP1M,62.69589173674119,-0.005922937097963348,0.08443664240146476,-0.07014652560202465,0.9440770358020235,0.9774633538046725
FAAP20,0,TP1M,31.356020339134666,-0.010051906165159186,0.1224459487528313,-0.08209259895931638,0.9345730784353594,0.9750062880036297
SKI,0,TP1M,30.396021763668106,0.36872503413112,0.13546861852276845,2.7218483376587157,0.006491792775844525,0.06315100138125591
RER1,0,TP1M,36.50997301756347,-0.09704814151616682,0.12971085724446416,-0.748188267179991,0.45434660696508733,0.7152446070471014
AL139246.5,0,TP1M,15.347892594008453,-0.37616058389685036,0.15301238121092547,-2.4583669695220163,0.013957047481942295,0.10246351685060522
TNFRSF14,0,TP1M,54.48371052116358,0.006096643383987363,0.08904827616513594,0.06846447395210008,0.9454158993725079,0.9776411365745957
TPRG1L,0,TP1M,12.671117433322381,-0.12321906240013139,0.1495862832276879,-0.8237323619611399,0.41009164703646006,0.6893963990033762
KCNAB2,0,TP1M,19.955461483274213,0.10774817099345776,0.16700585102877144,0.6451760242513607,0.5188131215432654,0.7674145656408456
