gene,population,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,timepoint
NOC2L,Pooled_Monocytes,14.28049566562654,-0.24377347845285335,0.14961858684536117,-1.6292994312585394,0.10324964650644397,0.24913071680597018,TP1M
ISG15,Pooled_Monocytes,92.92717972181566,-0.11784312747963152,0.27208875721037895,-0.43310546414277323,0.6649381533354151,0.8014707507848156,TP1M
SDF4,Pooled_Monocytes,44.32819995524069,-0.1336174610498013,0.09690559852586449,-1.3788415022702558,0.16794362751450265,0.34191459565758453,TP1M
UBE2J2,Pooled_Monocytes,29.44563464036142,-0.25249497027173695,0.10524638976943458,-2.399084384983493,0.016436126471664085,0.07052902654561867,TP1M
ACAP3,Pooled_Monocytes,12.051876109422,0.22239374687608573,0.15689150481583336,1.4175002473023761,0.15633672210233615,0.32835447523344924,TP1M
INTS11,Pooled_Monocytes,16.54911401717125,-0.3455023467637716,0.14178195948353786,-2.4368569035321275,0.014815540933267488,0.0658937814850956,TP1M
AURKAIP1,Pooled_Monocytes,96.11568372435454,-0.2736239228922923,0.06906435012018447,-3.9618692193025367,7.43652727747978e-05,0.0013108454861998256,TP1M
CCNL2,Pooled_Monocytes,25.250121379916106,-0.09913866717165544,0.13224027261934967,-0.7496858952871612,0.45344390440874316,0.6407359518819197,TP1M
MRPL20,Pooled_Monocytes,80.53573585134626,-0.15448367664014048,0.0924635970709155,-1.6707513176418858,0.09477080793300759,0.23551168518596868,TP1M
SSU72,Pooled_Monocytes,86.50901683730079,0.08903357914150835,0.08229896568548757,1.08183108256497,0.2793275924710156,0.47454510672995837,TP1M
AL645728.1,Pooled_Monocytes,16.723867559386655,-0.5621048802100196,0.25613022517080825,-2.1946058097405836,0.028191886442309643,0.10366374272245855,TP1M
MIB2,Pooled_Monocytes,13.258695235798385,-0.0821444311063214,0.17638454902534095,-0.46571217014320127,0.641421539916256,0.7838759124711,TP1M
CDK11B,Pooled_Monocytes,22.253549599742122,-0.5143445007477891,0.16592354486452118,-3.099888573184465,0.0019359345746763066,0.01473937152591872,TP1M
CDK11A,Pooled_Monocytes,18.641198891844596,-0.5637362219475762,0.1673283892828975,-3.369041107510351,0.0007543017825851436,0.007372125101700233,TP1M
NADK,Pooled_Monocytes,42.752137574147156,-0.24614706562117497,0.10360395266302624,-2.37584628090178,0.01750875519277427,0.07412118887578796,TP1M
GNB1,Pooled_Monocytes,133.830541113644,-0.01785603910473025,0.07946465860214327,-0.2247041567765402,0.8222094306627763,0.9015101677964822,TP1M
FAAP20,Pooled_Monocytes,51.49021520218388,0.14795470210742767,0.09132309850434411,1.6201235451991336,0.1052057405543198,0.2526881528325464,TP1M
SKI,Pooled_Monocytes,31.27254300526875,0.7708792988819977,0.20881296901618066,3.691721364405595,0.0002227414120192145,0.0030552308112318646,TP1M
RER1,Pooled_Monocytes,64.65442103532504,-0.10098504274212897,0.08524888336808743,-1.1845907975837755,0.2361792772504373,0.4281692882169462,TP1M
AL139246.5,Pooled_Monocytes,24.472459896405,-0.38932007801141366,0.17033832723254427,-2.2855694566021985,0.022279458733071803,0.08792770389113559,TP1M
TNFRSF14,Pooled_Monocytes,62.340277185999696,-0.3025636846969845,0.08729076692717921,-3.466159083576307,0.0005279507998258335,0.00566050342081306,TP1M
LRRC47,Pooled_Monocytes,11.907765615283422,0.30784632163597286,0.16940056639320392,1.8172685498666856,0.06917600312428539,0.19049028483901728,TP1M
CEP104,Pooled_Monocytes,10.562135182108237,-0.010061266948900163,0.1691572165660491,-0.05947879229244495,0.9525707568655792,0.9763537323983599,TP1M
C1orf174,Pooled_Monocytes,11.713956734947905,-0.049768696977902184,0.17411053824773573,-0.285845403034066,0.7749965316825023,0.8757357946961652,TP1M
KCNAB2,Pooled_Monocytes,43.616800121955116,-0.10154459007283712,0.10433619194910011,-0.9732441655755957,0.3304319650819568,0.5257383398671515,TP1M
RPL22,Pooled_Monocytes,1055.5248045218536,0.049082922645826865,0.044939767203980116,1.0921935225663522,0.2747480489862877,0.4694490212690129,TP1M
KLHL21,Pooled_Monocytes,16.82396847052907,0.36645929198893784,0.20015403658644318,1.8308863425328432,0.06711750924971628,0.18697020433849534,TP1M
CAMTA1,Pooled_Monocytes,45.83290822355936,0.1594872813475177,0.10621670571693885,1.5015272811467315,0.13321923594806168,0.295306583415952,TP1M
VAMP3,Pooled_Monocytes,46.51358405758005,-0.028078564358344743,0.1280016177376224,-0.21936101163893224,0.8263688385897493,0.9038635500087705,TP1M
PARK7,Pooled_Monocytes,154.38941480970823,-0.20178900486087775,0.06570891489162879,-3.0709532366145544,0.002133765667693091,0.015813180245136445,TP1M
RERE,Pooled_Monocytes,27.26381778476799,-0.2772126715161978,0.11451572651086152,-2.4207388798245533,0.015488998834803301,0.06796860248183727,TP1M
ENO1,Pooled_Monocytes,256.7799907367292,-0.1565773581354977,0.052194305560170885,-2.9998935028456595,0.0027007401725564805,0.018725131863058266,TP1M
H6PD,Pooled_Monocytes,13.779763224379924,-0.21213273113582698,0.15656001136594117,-1.354961137809264,0.17542993903502346,0.3534655536256204,TP1M
SLC25A33,Pooled_Monocytes,30.46946430527129,-0.08827874333356728,0.16183028580482292,-0.5455019923775996,0.58540831060679,0.7455233460168628,TP1M
PIK3CD,Pooled_Monocytes,23.798157791833184,-0.017644935477382225,0.12213510459366367,-0.14447062976763225,0.8851288471735722,0.9414017396221392,TP1M
CLSTN1,Pooled_Monocytes,14.227104647894484,-0.19341581788510537,0.1442083866184212,-1.3412244767489716,0.1798475816712256,0.35797413385277443,TP1M
