gene,cluster,timepoint,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,0,TP2M,14.389123926739106,-0.0837148431777808,0.13470648788294393,-0.6214611077272432,0.5342962763982237,0.7620907779896365
ISG15,0,TP2M,65.04784490072274,-0.250887793183195,0.16376945379885174,-1.5319571957011318,0.12553299786787622,0.36028985479707437
TNFRSF18,0,TP2M,10.946311000429747,-0.12399866705277572,0.20934712228942837,-0.5923113042907943,0.553642147535949,0.7763012616731408
TNFRSF4,0,TP2M,25.351390073475002,-0.3494902208125771,0.14276174295694627,-2.4480663626947696,0.014362519925646898,0.09359370389736119
SDF4,0,TP2M,31.17157987938864,-0.025226475494346475,0.09461345597210935,-0.2666267206409083,0.7897565800809287,0.9081295152567435
UBE2J2,0,TP2M,21.781229831941594,-0.1371475287993702,0.11605417270569852,-1.181754396260807,0.23730316760031778,0.5078078731978757
INTS11,0,TP2M,11.439625908447598,-0.3764202300440391,0.1541270453994654,-2.4422724063024486,0.014595129081872563,0.09453098203392886
AURKAIP1,0,TP2M,49.26233202535661,-0.13391379648747648,0.09005800089446461,-1.486972785953851,0.13702199869287798,0.3799505838754596
CCNL2,0,TP2M,19.912632019519958,0.09636237071721546,0.11846409907308227,0.8134310012163944,0.4159709910978203,0.6742519101590316
MRPL20,0,TP2M,54.4829598696566,0.09223679831510605,0.08733527688172832,1.0561230422388823,0.29091200437331055,0.5604244038552122
SSU72,0,TP2M,65.9241761050931,0.0018889639263068964,0.06711036503898983,0.02814712638218321,0.9775448075290051,0.990538449349677
MIB2,0,TP2M,18.46946170803187,-0.19940917438726022,0.12504687710269174,-1.5946753650113168,0.11078484969327317,0.3359812629309749
CDK11B,0,TP2M,14.609862485420662,-0.2623415643896763,0.13965065705071805,-1.8785558903199404,0.0603051588298315,0.2374738650961708
CDK11A,0,TP2M,16.366160597741175,-0.09658538983972449,0.13731151207354547,-0.70340343923962,0.4818043638268922,0.7276175781375717
GNB1,0,TP2M,61.49291973598455,0.06304988444229086,0.07258647067761441,0.8686175791948977,0.38505633602970746,0.6503933797659145
FAAP20,0,TP2M,30.714383675493874,0.03538348410748381,0.10947215955052103,0.3232190198198699,0.7465293775962358,0.882638775554599
SKI,0,TP2M,28.357872073880973,0.2782419823740636,0.1518136068543103,1.8327868505296878,0.06683427541151576,0.25036467621728625
RER1,0,TP2M,34.79494553017809,-0.09192505629117184,0.09691982266237918,-0.9484649658449475,0.3428927999596182,0.6119086324335267
AL139246.5,0,TP2M,15.400936590005589,-0.2598847039062065,0.15132656848323875,-1.717376575118677,0.08591038886694008,0.2896687209167758
TNFRSF14,0,TP2M,46.84322489251598,-0.307223845649217,0.08942513907786535,-3.4355422738756642,0.0005913691920954603,0.010709012172504187
TPRG1L,0,TP2M,10.486039773216241,-0.5036852699230817,0.16867200617654177,-2.986181769818377,0.0028248467899690583,0.033199744613234584
KCNAB2,0,TP2M,18.095411254074133,-0.026666702084896864,0.14757745659499666,-0.18069631161946012,0.8566059540329266,0.9405176529740773
RPL22,0,TP2M,1446.9127697259814,-0.018735784990429643,0.0396412918885782,-0.47263305754745005,0.6364749936002878,0.8257794044578048
TNFRSF25,0,TP2M,41.04913294296801,-0.10794737529144924,0.09132779836982942,-1.1819771988186913,0.2372147482133583,0.5078078731978757
NOL9,0,TP2M,12.29757364472219,0.12004908379905413,0.16479519197812684,0.7284744315537323,0.466323214751155,0.7146530786802388
CAMTA1,0,TP2M,26.959511323152835,0.21562263214136898,0.10861279503035823,1.9852415369763807,0.047117605029541626,0.2010049111997433
PARK7,0,TP2M,94.29389840478613,-0.043280669334088154,0.08131598372688202,-0.5322529145002537,0.5945508388306531,0.797474776832969
RERE,0,TP2M,19.04875927500888,-0.07801586816115912,0.12561210138207518,-0.6210856064246368,0.5345432991122034,0.7620907779896365
