gene,cluster,timepoint,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,0,TP4M,20.758660288911127,-0.10932671399103207,0.1283904995323786,-0.8515171635691091,0.39448213313323677,0.6932457031076901
ISG15,0,TP4M,122.5559649711924,0.5480685751673825,0.2481303318439874,2.208793141468823,0.027189032318485563,0.184855751505097
TNFRSF18,0,TP4M,17.177846171560635,0.2335233519567879,0.22428238421119318,1.0412023787694937,0.29778163194606155,0.6149047345792236
TNFRSF4,0,TP4M,42.002812617506336,0.011372636979691729,0.15600213977055977,0.07290051916222458,0.941885280812942,0.9820877013354457
SDF4,0,TP4M,45.344858003323345,0.020356517048243164,0.09396900950684688,0.21663011193876558,0.8284966169973798,0.9421038118986486
B3GALT6,0,TP4M,8.730758915223102,0.027428720376660547,0.20427684529073245,0.1342722927682931,0.8931872619842509,
UBE2J2,0,TP4M,33.410530429326876,-0.046319438438290596,0.11437199021343211,-0.40498935405297104,0.6854853363665456,0.8813000664279301
INTS11,0,TP4M,18.054476255418074,-0.09143076916617267,0.1486896204302886,-0.6149102331526828,0.5386140044267718,0.7965961371763678
AURKAIP1,0,TP4M,75.26867465209737,-0.011283522217639976,0.08634689196579258,-0.13067664580341914,0.896031107846647,0.9667596224327187
CCNL2,0,TP4M,25.70584865766976,-0.15436018786250746,0.12003445840155708,-1.2859656295204738,0.19845505716963496,0.515734126711467
MRPL20,0,TP4M,76.46122628929349,-0.005436912087410899,0.0831759101480184,-0.06536642734339145,0.9478822539900097,0.9838967341363942
SSU72,0,TP4M,97.05547666399049,0.03879045288810907,0.06521604938090367,0.5947991829671847,0.5519777137836552,0.8069744937067058
MIB2,0,TP4M,29.412121856019965,0.03314350439476762,0.13159914321387933,0.2518519770368237,0.80115548000543,0.9362415621767206
CDK11B,0,TP4M,22.753678095046755,-0.1610868023221378,0.13253904612749434,-1.2153912905573674,0.22421688822894692,0.5426881424221145
CDK11A,0,TP4M,24.51326018847239,-0.0336377355510883,0.13667799489957538,-0.24610937243997283,0.8055975680233519,0.9379697060534471
GNB1,0,TP4M,86.28682082786342,-0.030881598460695523,0.08047660770789422,-0.38373384937877103,0.7011757215980641,0.890202356222427
FAAP20,0,TP4M,46.73687016031739,0.19592703898958605,0.1285051351034716,1.524663110402761,0.12734314735800262,0.4222536569809303
SKI,0,TP4M,40.72133841574967,0.3676334748098548,0.19549969815201584,1.8804810354438086,0.06004254861887172,0.28120192639460617
RER1,0,TP4M,53.815258245572934,0.10373842119837091,0.09314377399866446,1.1137450926119696,0.26538855843397946,0.5836194506758777
AL139246.5,0,TP4M,23.91270927241788,0.031154148060867207,0.1562362790293192,0.19940405809985295,0.8419466863229883,0.9480723614982761
TNFRSF14,0,TP4M,75.82789186987534,0.013766177778470168,0.0971072427388057,0.1417626264551426,0.8872675056273815,0.9636570138989778
TPRG1L,0,TP4M,17.219357871217046,-0.19118684646434742,0.1411774900326597,-1.3542303834706133,0.17566288841340394,0.48791773290801976
WRAP73,0,TP4M,9.436772894003258,0.10150685080597542,0.18440467822055853,0.550457026283072,0.5820059442710245,
LRRC47,0,TP4M,9.865780811526296,-0.4229742476938266,0.21132906656034292,-2.001495840483687,0.04533898158252776,
CEP104,0,TP4M,12.181686016684077,-0.3585004606306433,0.20473102456693196,-1.7510802839431892,0.07993208185035354,
C1orf174,0,TP4M,11.441585495416124,-0.15597601398164562,0.16985731650392727,-0.9182766877047612,0.35847402884281687,
