gene,cluster,timepoint,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NOC2L,0,TP3M,17.868005562385058,0.10914301611722202,0.12950717328955813,0.842756531124303,0.39936462356750013,0.672421480465004
ISG15,0,TP3M,81.2238648050097,-0.03779615451570611,0.20406279211002165,-0.18521825622834803,0.8530578504295027,0.9287189268321194
TNFRSF18,0,TP3M,12.23999754171388,-0.14875015598915559,0.21383188492410635,-0.6956406713711114,0.48665388885058236,
TNFRSF4,0,TP3M,32.108230043401,-0.13883678457332616,0.1428971931599526,-0.9715851060693583,0.331256995030896,0.6146413014111476
SDF4,0,TP3M,36.04514161589362,-0.03729579074315743,0.09665177920188758,-0.38587795331996383,0.6995870591804839,0.8627532377638427
UBE2J2,0,TP3M,25.75371553824487,-0.11130286442135458,0.11580847333379043,-0.9610943069817568,0.33650475191567875,0.6205130959798814
INTS11,0,TP3M,13.081167217845074,-0.3621512676393846,0.15806268709647603,-2.291187593301763,0.02195256621621364,0.13737264125216042
AURKAIP1,0,TP3M,58.1879163018589,-0.09980247466195735,0.09087285328941007,-1.0982650048866454,0.27208878825566907,0.5540987720721647
CCNL2,0,TP3M,20.351860980259705,-0.19772323572317893,0.12930763374001195,-1.5290917481385866,0.12624170074201502,0.3698674878133266
MRPL20,0,TP3M,65.50413838784371,0.17679301364796607,0.08187085310500888,2.159413355827726,0.03081811265397187,0.16915887879354585
SSU72,0,TP3M,74.66960433806983,-0.019495265740607653,0.07230754065610326,-0.2696159427317228,0.7874557338981887,0.8974548326279994
MIB2,0,TP3M,21.829788764771997,-0.13476017807042664,0.13988065052405435,-0.9633939902735356,0.3353498410776604,0.6192260649021241
CDK11B,0,TP3M,17.3650160937406,-0.17638305935963206,0.13055069656705354,-1.3510694618855446,0.17667318275125732,0.44857208438650326
CDK11A,0,TP3M,19.506471155745064,-0.07208771822441022,0.14797085680401262,-0.4871751085410717,0.6261342433780883,0.8192322423354423
GNB1,0,TP3M,70.73390880536229,0.0379980518549949,0.07598064570021885,0.5001017233377558,0.6170034527532955,0.812248505274521
FAAP20,0,TP3M,33.62076416086138,-0.07829197897396013,0.11677302090854444,-0.6704629062844721,0.5025627451082382,0.7448826004143937
SKI,0,TP3M,32.42515456914739,0.28430243430087104,0.1415436966577438,2.008584211194663,0.04458124712094637,0.20722854932579826
RER1,0,TP3M,40.94724756496636,-0.05412019600620788,0.09102390853157492,-0.5945712162803286,0.5521301251024238,0.776004214834108
AL139246.5,0,TP3M,18.609634450335285,-0.10307766770069127,0.1411168220174051,-0.730442099156526,0.4651199929723655,0.7205811819003222
TNFRSF14,0,TP3M,58.53803452070058,-0.07225308314647493,0.09995765151947143,-0.7228369419263543,0.46978006830378694,0.7240349586689617
