grouping,comparison,res1_cluster,res2_cluster,cluster_overlap_pct,sig_genes_res1,sig_genes_res2,conserved,lost,gained,conserved_pct_of_res1,direction_agreement_pct,conserved_genes,lost_genes,gained_genes
Harmony,ACS_vs_nonCCS,0,4,49.2,11,6,4,7,2,36.4,100.0,FKBP5;GBP1;PHC2;THBS1,CD9;FMN1;GBP4;IL7R;PDE4D;SMAD7;TEX14,JUN;MT-ATP8
Harmony,ACS_vs_nonCCS,1,2,59.2,3,2,1,2,1,33.3,100.0,MTRNR2L8,ID3;KLRB1,XIST
Harmony,ACS_vs_nonCCS,2,6,56.9,8,4,2,6,2,25.0,100.0,ISG20;SYTL3,DENND3;FKBP5;PDE3B;SH2D2A;SLA2;UTY,HAVCR2;IFNGR1
Harmony,ACS_vs_nonCCS,3,8,47.6,3,3,3,0,0,100.0,100.0,FKBP5;MTRNR2L8;SYTL3,,
Harmony,ACS_vs_nonCCS,4,3,59.9,2,2,2,0,0,100.0,100.0,HIST1H4C;MTRNR2L8,,
Harmony,ACS_vs_nonCCS,5,0,92.5,0,1,0,0,1,,,,,AC058791.1
Harmony,ACS_vs_nonCCS,6,1,61.9,0,1,0,0,1,,,,,HIST1H4C
Harmony,ACS_vs_nonCCS,7,7,99.9,1,1,1,0,0,100.0,100.0,HIST2H2AC,,
Harmony,ACS_vs_nonCCS,8,13,99.8,9,7,7,2,0,77.8,100.0,CKB;CXCR4;FKBP5;ISG20;LITAF;MTRNR2L8;RGCC,NEU1;PHC2,
Harmony,ACS_vs_nonCCS,9,15,76.4,7,24,1,6,23,14.3,100.0,GOLGB1,CXCL8;MTRNR2L8;PLCG2;RPS4Y1;TSPYL2;ZNF331,ABHD5;AC004687.1;BLOC1S6;GNL1;HCG18;HLA-DQA1;HLA-DQB1;JOSD1;KCNQ1OT1;KLRB1;LITAF;MGST1;MT-ATP8;MT-ND4L;NEU1;NR4A1;PURB;RAB31;RNASE6;SLC8A1;SPEN;WARS;ZNF791
Harmony,ACS_vs_nonCCS,10,16,99.8,7,3,3,4,0,42.9,100.0,CXCR4;EREG;MTRNR2L8,AREG;FKBP5;GOLGB1;MT-ATP8,
Harmony,ACS_vs_nonCCS,11,19,100.0,0,0,0,0,0,,,,,
Harmony,ACS_vs_nonCCS,12,21,64.5,0,0,0,0,0,,,,,
Harmony,ACS_vs_nonCCS,13,23,100.0,0,0,0,0,0,,,,,
Harmony,ACS_TP1M_vs_TP4M,0,4,49.2,66,48,25,41,23,37.9,100.0,CCL5;CLU;CYP1B1;DNAJB1;DUSP2;EIF4A3;FABP5;FKBP5;GNG11;HSPA1B;HSPE1;HSPH1;IGHA1;IGKC;IGLC2;IGLC3;LTB;LY6E;PF4;PHC2;PPBP;SAP30;THBS1;TUBB1;ZNF331,BX284668.5;CCL7;CD2;CD247;CD300LB;CD3D;CD3E;CSKMT;CST7;CTSW;DNAJA4;EGR3;ETS1;FMN1;GBP1;GP9;GPR160;GZMA;GZMM;HES4;HIST1H4C;HSPA1A;IFIT2;IFIT3;IL1R2;IL32;JCHAIN;LAT;LBH;PDK4;PRDM8;SLC38A1;SLC44A1;SOCS1;SPOCK2;SYNE2;TEX14;TRAC;TRBC1;TRBC2;ZNF165,CRISPLD2;DENND3;EGR1;ERGIC1;GADD45B;IFI44L;IFI6;IGHM;ISG15;KLF9;MRPL18;NEU1;OSM;RRAD;RRM2B;SEMA6B;SIPA1L1;SNHG12;SNHG25;SNHG9;SQLE;STX6;ZSCAN16-AS1
Harmony,ACS_TP1M_vs_TP4M,1,2,59.2,6,5,5,1,0,83.3,100.0,EIF4A3;IGHA1;IGKC;ODC1;TUBB4B,IGLC2,
Harmony,ACS_TP1M_vs_TP4M,2,6,56.9,28,18,13,15,5,46.4,100.0,CEMIP2;CMIP;FKBP5;GK5;IGHA1;IGKC;IGLC2;RNF115;SEC14L1;SH2D2A;SLA2;SUGP2;SYTL3,AUTS2;CARD11;CD3D;DTHD1;FAM129A;GZMK;HAVCR2;IGLC3;LTB;MPHOSPH9;PDE3B;S100A9;SNHG25;SORL1;TRAC,CD3E;CRIP1;OGT;S100A8;TERF1
Harmony,ACS_TP1M_vs_TP4M,3,8,47.6,12,10,7,5,3,58.3,100.0,FAM129A;FKBP5;IGHA1;IGKC;OASL;S100A9;SYTL3,CMIP;IFIT2;IGLC2;SH2D2A;SLA2,EIF4A3;FGFBP2;RGCC
Harmony,ACS_TP1M_vs_TP4M,4,3,59.9,5,4,4,1,0,80.0,100.0,CCL5;IGHA1;IGKC;IGLC2,EIF4A3,
Harmony,ACS_TP1M_vs_TP4M,5,0,92.5,8,8,6,2,2,75.0,100.0,EIF4A3;HIST1H4C;IGHA1;IGKC;UBE2S;ZNF331,IGLC2;JPT1,TUBB4B;TXNIP
Harmony,ACS_TP1M_vs_TP4M,6,1,61.9,5,6,5,0,1,100.0,100.0,DNAJA1;IGHA1;IGKC;IGLC2;SNHG25,,PRDM1
Harmony,ACS_TP1M_vs_TP4M,7,7,99.9,5,6,5,0,1,100.0,100.0,DNAJB1;HCST;S100A9;SNHG12;TUBB4B,,LYZ
Harmony,ACS_TP1M_vs_TP4M,8,13,99.8,7,7,5,2,2,71.4,100.0,EIF4A3;FKBP5;HSPA1A;HSPA1B;NEU1,CXCL2;LITAF,DUSP2;TNFSF10
Harmony,ACS_TP1M_vs_TP4M,9,15,76.4,8,10,1,7,9,12.5,100.0,TUBB4B,CCL4L2;DNAJB1;HSPA1A;HSPA1B;JCHAIN;PPBP;S100A8,ATP5ME;CYP1B1;EIF4A3;HIST1H4C;MTRNR2L8;NBEAL1;ODC1;THBS1;ZNF331
Harmony,ACS_TP1M_vs_TP4M,10,16,99.8,7,8,7,0,1,100.0,100.0,EIF4A3;IGHA1;IGKC;IGLC3;LY6E;S100A9;VCAN,,Z93241.1
Harmony,ACS_TP1M_vs_TP4M,11,19,100.0,0,0,0,0,0,,,,,
Harmony,ACS_TP1M_vs_TP4M,12,21,64.5,0,0,0,0,0,,,,,
Harmony,ACS_TP1M_vs_TP4M,13,23,100.0,0,0,0,0,0,,,,,
DRVI,ACS_vs_CCS,0,0,38.9,57,18,9,48,9,15.8,100.0,ABLIM1;AC058791.1;FKBP5;IGKC;MTRNR2L8;MYOM2;RGCC;RYBP;XIST,AC016831.5;AHR;ASCL2;BCL2L11;CAMK4;CCL4L2;CCR7;CD8B;EGR1;EPSTI1;FAM102A;FGFR1;FOXO1;GPR155;GPR183;HIST1H4E;HLA-DPB1;IL6ST;IL7R;INPP4B;JCHAIN;KIR2DL1;LAIR1;LGALS3;LINC00513;LTB;MAL;MXI1;PELI1;PELI2;PGM2L1;RCAN3;RGPD5;RHOC;RNF103;RNF165;SERINC5;SKI;SLC12A2;SLC7A5;SUN1;TCEAL4;TCF7;TTTY15;UTY;WHRN;YBX3;ZSWIM6,ANKRD28;AREG;PDE4D;PDLIM2;PLEKHA2;PTS;PYCARD;RPS4Y1;S100A9
DRVI,ACS_vs_CCS,1,5,40.3,6,2,2,4,0,33.3,100.0,IGKC;MTRNR2L8,HDGFL3;KRT1;RPS26;XIST,
DRVI,ACS_vs_CCS,2,6,52.2,92,41,21,71,20,22.8,100.0,AC245014.3;CD163;CXCL2;CXCL3;EMP1;FOXO3;GPR183;HLA-F;IFI30;IFITM3;JUN;LMNA;MT2A;MTRNR2L8;PSMB9;PSME2;RPS4Y1;RUNX1;THBS1;VAMP5;XIST,AC016831.1;AC016831.5;AP5B1;ATP13A3;ATXN1;BASP1;BCL11B;BCL2;C11orf21;CBR1;CCDC50;CD3D;CD3E;CD3G;CHML;CREM;CX3CR1;DNTTIP1;DYRK1A;EPSTI1;ERAP2;EREG;ETS1;FOLR3;FOSL1;GADD45A;GBP1;GBP2;GBP4;GNLY;HIST1H1D;HIST1H1E;HLA-DQA2;IL32;IL7R;LHFPL2;LINC00528;LTB;MGAT4A;MTHFD2L;MTMR6;MYC;MYSM1;NFE2;NKG7;OAS1;P2RY13;PDE4D;PDHB;PHLDA1;PIK3CA;PSMB10;PSMD14;RGCC;RNF5;RNF6;RTL8C;SAMD9L;SERINC5;SKI;SLC1A5;SULT1A1;TAP1;TBC1D2B;TCF7;THBD;TMEM50B;TNFSF10;TRBC1;TRBC2;ZNF331,AC007952.4;AC020656.1;AC020916.1;CREBRF;DDX3Y;ELF1;HLA-DPB1;IRF1;LITAF;NAGK;NDUFS7;PARP14;PLCG2;PLEKHO1;RAP2B;STAT1;TMEM107;TYMP;WARS;YWHAQ
DRVI,ACS_vs_CCS,3,7,50.6,3,4,2,1,2,66.7,100.0,HIST1H1D;MTRNR2L8,DENND4A,AC058791.1;RPS26
DRVI,ACS_vs_CCS,4,10,43.3,4,3,2,2,1,50.0,100.0,MTRNR2L8;RPS26,HIST1H1E;XIST,ARID5B
