res1_cluster,res1_n_cells,best_matching_res2_cluster,overlap_pct
0,20203,0,38.9
1,13913,5,40.3
2,10295,6,52.2
3,9564,7,50.6
4,9097,10,43.3
5,8255,9,50.7
6,7027,2,95.8
7,6709,3,96.8
8,6411,4,96.8
9,5849,8,83.6
10,3325,15,98.1
11,3290,17,94.8
12,1241,23,99.3
13,1100,25,99.6
14,886,30,73.5
15,753,28,98.1
16,680,26,98.4
17,592,31,100.0
18,314,32,61.8
